Fig7 - Non-dimensional Lift;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
x;y;x;y;x;y
0.546675023;1.108894031;1.017770601;1.100548446;0.540107613;1.094743355
0.731638257;1.115275949;1.505352148;1.121657867;0.731909435;1.091466486
0.916595899;1.122148784;2.001383977;1.139294051;0.913614475;1.088533258
1.101529779;1.131108014;2.505796756;1.159544368;1.101961707;1.093184695
1.286455271;1.140803621;3.010207997;1.179929686;1.290282661;1.10014344
1.471380764;1.150499227;3.514625389;1.199774996;1.475224787;1.108378568
1.656304858;1.160317562;4.010630939;1.21971849;1.656827646;1.114416845
1.841221964;1.170749543;4.506637187;1.239600619;1.841806255;1.119448741
2.026141865;1.180936066;5.01106688;1.258365912;2.043592334;1.12570793
2.211054777;1.191736235;5.515502723;1.276591197;2.228571923;1.130653916
2.395966291;1.202659132;6.003137108;1.293061454;2.410158986;1.138079032
2.580873612;1.213950218;6.507608316;1.30818169;2.598484831;1.144608225
2.765778137;1.225486762;7.012081061;1.323166924;2.781773049;1.150364224
2.95068406;1.236900577;7.508154266;1.337170325;2.970088691;1.15778934
3.135594176;1.247946204;9.017675782;1.355027422;3.158410483;1.164674448
3.320505691;1.258869102;9.518044648;1.361102517;3.338323788;1.171363189
3.505415807;1.269914729;10.01423122;1.365152581;3.52327584;1.17872694
3.690320332;1.281451273;10.51046391;1.365152581;3.708230686;1.185845233
3.875224857;1.292987817;11.01513501;1.362722543;3.901594917;1.193081142
4.060137769;1.303787985;11.51143912;1.356452445;4.078129198;1.201063653
4.24505767;1.313974508;12.00777723;1.3471973;4.263087306;1.207895578
4.429974776;1.324406489;12.49576834;1.332347068;4.448043085;1.214932051
4.614891881;1.33483847;13.0006424;1.312096752;4.632976964;1.223891282
4.799807589;1.345393181;13.48879188;1.283341302;4.834760248;1.230395929
4.984726092;1.355702433;13.96871809;1.238127868;5.019709503;1.238005139
5.169654381;1.365152581;14.39740733;1.178699667;5.204668543;1.244755245
5.354577077;1.375093645;14.54157155;1.156979328;5.376553399;1.250700792
5.539505366;1.384543793;14.76098314;1.09264118;5.574574044;1.259360018
5.724433654;1.39399394;14.99720608;1.029190188;5.759538675;1.265619207
5.909367533;1.402953171;15.14101576;0.956546196;5.935134451;1.273951155
6.094295821;1.412403319;15.27644584;0.881170018;6.129434391;1.281083085
6.279224109;1.421853466;15.41185029;0.808043876;6.314392033;1.28795592
6.464159387;1.430689968;15.49640472;0.768780762;6.504397787;1.294681479
6.64909746;1.439281011;15.54776472;0.690142033;6.684311512;1.301333402
6.834035533;1.447872055;15.59066915;0.615440866;6.862567763;1.305819153
7.01898339;1.455603994;15.6420458;0.535339615;7.052566318;1.313176768
7.203934044;1.463090474;15.67650363;0.463788497;7.239223578;1.318515488
7.388886095;1.470454226;15.71940806;0.389087329;7.422525914;1.323031922
7.573838146;1.477817977;15.77078728;0.308761074;7.609164024;1.330052032
7.758788799;1.485304458;15.81364814;0.237884967;7.79414543;1.33483847
7.943742248;1.49254548;15.86514268;0.147433554;7.979111459;1.34097493
8.128699891;1.499418315;;;8.164091467;1.345884098
8.313658931;1.50616842;;;8.349086851;1.349443244
8.498626359;1.512182151;;;8.550882715;1.354843329
8.683599377;1.517704964;;;8.745501337;1.357438174
