Fig8 - Bending;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
x;y;x;y;x;y
-0.004449388;0.010152284;0.053527488;0.007139927;0.069886855;0.022516349
0.387096774;0.029187817;0.497956952;0.032520638;0.249839889;0.0262279
0.781968742;0.038865816;0.996618016;0.057068143;0.429792924;0.027818564
1.170189099;0.073604061;1.500612353;0.108342306;0.609745958;0.031530114
1.526140156;0.118020305;1.994839009;0.171259977;0.783155245;0.03513562
1.82647386;0.183571117;2.932776036;0.380415833;0.978740563;0.048615028
1.975753081;0.211275188;3.480814822;0.514561862;1.149605061;0.072887388
2.182582218;0.24710301;3.884345869;0.608852912;1.321378411;0.088210788
2.3601982;0.280097934;4.028853608;0.660372763;1.525870496;0.110533111
2.540151234;0.314668373;4.416025288;0.765356612;1.70582353;0.135983741
2.720104268;0.352844318;4.869725059;0.904751833;1.885776564;0.156132157
2.900057303;0.395262034;4.969517196;0.946162129;2.065729599;0.188475666
3.080010337;0.441921523;5.345782632;1.068643286;2.245682633;0.221349396
3.259963371;0.483809018;5.795665217;1.217635515;2.425635667;0.257404455
3.439916405;0.529408063;5.910180784;1.257225384;2.605588701;0.285506193
3.61986944;0.58296043;6.278266536;1.404008358;2.785541735;0.320500809
3.799822474;0.638633683;6.711789755;1.565460792;2.96549477;0.355848906
3.979775508;0.695897601;6.826305322;1.626613;3.145447804;0.403038616
4.159728542;0.756873068;7.194391074;1.771451828;3.325400838;0.449432993
4.339681577;0.816788093;7.64427366;1.960369733;3.505353872;0.485046201
4.519634611;0.88094489;7.758789227;2.019330359;3.685306907;0.529408063
4.699587645;0.946162129;8.110515612;2.173889914;3.865259941;0.567584008
4.879540679;1.012970033;8.544038831;2.368216079;4.045212975;0.629089697
5.059493714;1.085080151;8.658554398;2.441209899;4.225166009;0.680079327
5.239446748;1.157720491;9.018460467;2.596741527;4.405119044;0.730892217
5.419399782;1.230891052;9.443804002;2.794514131;4.585072078;0.784798065
5.599352816;1.307773163;9.558319569;2.868921875;4.765025112;0.83004363
5.77930585;1.384125053;9.910045955;3.025425576;4.944978146;0.888261946
5.959258885;1.464718715;10.34356917;3.238839712;5.124931181;0.957827001
6.139211919;1.546372819;10.45808474;3.312187014;5.304884215;1.016151361
6.319164953;1.627496702;10.80981113;3.475252205;5.484837249;1.0739455
6.499117987;1.712332135;11.22697498;3.680514187;5.664790283;1.12838157
6.679071022;1.794516461;11.34149055;3.759340443;5.844743317;1.185822228
6.859024056;1.882533223;11.69321693;3.923620725;6.024696352;1.257455147
7.03897709;1.968959321;12.11038078;4.128551318;6.204649386;1.330042464
7.218930124;2.05591564;12.23307603;4.212326309;6.38460242;1.391901634
7.398883159;2.145523066;12.5929821;4.382196008;6.564555454;1.455174728
7.578836193;2.23407005;13.01014595;4.597267087;6.744508489;1.513499089
7.758789227;2.327919248;13.12466152;4.676977046;6.924461523;1.586404539
7.938742261;2.422298667;13.47638791;4.840042237;7.104414557;1.669384197
8.118695296;2.51773853;13.87719239;5.039295042;7.284367591;1.73566188
8.29864833;2.614238835;13.99988764;5.126560657;7.464320626;1.807771998
8.478601364;2.712329805;14.35979371;5.29861752;7.64427366;1.872459016
8.658554398;2.810950996;14.75241851;5.485984528;7.824226694;1.942094767
8.838507433;2.910102408;;;8.004179728;2.024685596
9.018460467;3.0087236;;;8.184132763;2.104696014
9.198413501;3.108935455;;;8.364085797;2.177866575
9.378366535;3.209147311;;;8.544038831;2.243614036
9.558319569;3.311480052;;;8.723991865;2.32155659
9.738272604;3.413282572;;;8.903944899;2.395999683
9.918225638;3.517205978;;;9.083897934;2.48875309
10.09817867;3.622189826;;;9.263850968;2.56863979
10.27813171;3.727703896;;;9.443804002;2.641280129
10.45808474;3.832687745;;;9.623757036;2.71409721
10.63803777;3.938201815;;;9.803710071;2.788681695
10.81799081;4.042655442;;;9.975483422;2.871099318
10.99794384;4.147639291;;;10.15052865;2.963212925
11.17789688;4.254213804;;;10.32720981;3.034704451
11.35784991;4.362378981;;;10.5055269;3.114856261
11.53780295;4.469483716;;;10.68711588;3.190059338
11.71775598;4.57658845;;;10.86706891;3.26694145
11.89770901;4.683693185;;;11.04702194;3.367365394
12.07766205;4.792918805;;;11.22697498;3.454639846
12.25761508;4.90002354;;;11.40692801;3.531521957
12.43756812;5.008718938;;;11.58688105;3.603808816
12.61752115;5.115823673;;;11.76683408;3.688467508
12.79747419;5.224519072;;;11.94678711;3.771889018
12.97742722;5.331623806;;;12.12674015;3.874045019
13.15738025;5.438198319;;;12.30669318;3.951457352
13.33733329;5.546363497;;;12.48664622;4.027985982
13.51728632;5.654528674;;;12.66659925;4.109463346
13.69723936;5.763224073;;;12.84655229;4.190057008
13.87719239;5.872979915;;;13.01996157;4.283598677
14.05714543;5.983796199;;;13.18028337;4.368635595
14.23709846;6.090900934;;;13.35369266;4.439791314
14.41705149;6.200126554;;;13.53364569;4.519324533
14.52338738;6.253678921;;;13.71359872;4.595146201
;;;;13.89355176;4.678921192
;;;;14.07350479;4.784700372
;;;;14.25345783;4.865028923
;;;;14.43341086;4.941734294
;;;;14.61336389;5.02038381
;;;;14.79331693;5.100447251
;;;;14.96509028;5.192428302
;;;;15.13686363;5.286554982
;;;;15.31681666;5.365557979
;;;;15.49186189;5.445303287
;;;;15.67672273;5.526215081
;;;;15.85667577;5.601506528
;;;;15.97119133;5.645161428
