Fig8 - torsion;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
x;y;x;y;x;y
0.555864286;0.236379223;0.480245599;0.093613567;0.085348014;0.01932705
0.732307888;0.305437959;0.925555642;0.165458475;0.270193692;0.04424515
0.891947337;0.369762561;1.051586786;0.203930927;0.45503937;0.070988753
1.051586786;0.433451279;1.387669838;0.305212054;0.639885049;0.094811553
1.219628312;0.498813374;1.748959118;0.414561246;0.824730727;0.123928308
1.387669838;0.563874261;2.017825559;0.516971902;1.009576405;0.158548951
1.56411344;0.630139979;2.395918992;0.622609784;1.194422083;0.215842327
1.740557041;0.695803282;2.774012424;0.728247666;1.379267761;0.263853027
1.917000643;0.759659337;3.000868484;0.812747214;1.56411344;0.316883856
2.101846322;0.825925056;3.395766069;0.910263242;1.748959118;0.365305294
2.286692;0.891369298;3.782261578;1.007940632;1.933804796;0.419787397
2.471537678;0.954896763;3.975509333;1.075927538;2.118650474;0.480859563
2.656383356;1.018698054;4.378808994;1.168925449;2.303496152;0.530193751
2.841229034;1.083320821;4.802273639;1.26960416;2.488341831;0.575557473
3.026074713;1.14547916;4.950150181;1.317395799;2.673187509;0.624298373
3.210920391;1.207363673;5.33664569;1.398596405;2.858033187;0.667927868
3.395766069;1.270069663;5.781955733;1.498166123;3.034476789;0.727580705
3.580611747;1.328942099;5.907986878;1.53376341;3.210920391;0.776362679
3.765457426;1.387814534;6.294482387;1.607935833;3.395766069;0.818805598
3.950303104;1.444222542;6.756596582;1.701983408;3.580611747;0.863165294
4.135148782;1.502821153;6.857421497;1.729548486;3.765457426;0.906977339
4.31999446;1.560598287;7.243917006;1.792132776;3.950303104;0.953828845
4.504840138;1.617827771;7.697629126;1.876592663;4.135148782;1.009935645
4.689685817;1.673140478;7.798454041;1.895212782;4.31999446;1.052834939
4.874531495;1.729822311;8.168145397;1.955454344;4.504840138;1.089983902
5.059377173;1.78212294;8.621857517;2.027470393;4.689685817;1.130692594
5.244222851;1.833875919;9.092373789;2.096352664;4.874531495;1.172405312
5.429068529;1.886724198;9.546085908;2.161949032;5.059377173;1.226257618
5.613914208;1.939846303;9.999798027;2.216835788;5.244222851;1.26733141
5.798759886;1.992420757;10.43670599;2.272391895;5.429068529;1.304754199
5.983605564;2.042804609;10.90722227;2.317573067;5.613914208;1.341264236
6.168451242;2.092366985;11.32732608;2.362084888;5.798759886;1.37932595
6.35329692;2.140560234;11.80624443;2.397928617;5.990327225;1.423340626
6.538142599;2.186562882;12.23475032;2.435044113;6.168451242;1.46585474
6.722988277;2.232565529;12.70526659;2.460814114;6.35329692;1.499443974
6.907833955;2.278294351;13.11696833;2.488592168;6.538142599;1.535680187
7.092679633;2.322927872;13.59588668;2.505995286;6.722988277;1.569086871
7.277525312;2.367013743;13.99918634;2.521725027;6.907833955;1.603205501
7.46237099;2.411373438;14.48650676;2.528418534;7.092679633;1.647419157
7.647216668;2.453816357;;;7.277525312;1.679712285
7.832062346;2.492699547;;;7.46237099;1.708463939
8.016908024;2.531856562;;;7.647216668;1.739953847
8.201753703;2.569644451;;;7.832062346;1.769983353
8.386599381;2.60743234;;;8.016908024;1.804302788
8.571445059;2.644398753;;;8.201753703;1.839352424
8.756290737;2.67944839;;;8.386599381;1.866917503
8.941136415;2.714771851;;;8.571445059;1.893661105
9.125982094;2.749000011;;;8.756290737;1.921226184
9.310827772;2.782954346;;;8.941136415;1.95198589
9.49567345;2.812801302;;;9.125982094;1.9853013
9.680519128;2.841279131;;;9.310827772;2.008576449
9.865364806;2.870030786;;;9.49567345;2.031851598
10.05021048;2.897413314;;;9.680519128;2.057864999
10.23505616;2.924522017;;;9.865364806;2.080044847
10.41990184;2.948892467;;;10.05021048;2.111945493
10.60474752;2.972441441;;;10.24177782;2.13617903
10.7895932;2.994895114;;;10.41990184;2.153156197
10.97443888;3.015705836;;;10.60474752;2.176157521
11.15928455;3.035968907;;;10.7895932;2.196694417
11.34413023;3.052398424;;;10.97443888;2.219376278
11.52897591;3.069375591;;;11.15928455;2.243244715
11.71382159;3.085805108;;;11.34413023;2.258852756
11.89866727;3.101413149;;;11.52897591;2.276377574
12.08351295;3.114556763;;;11.71382159;2.295271519
12.26835862;3.126605075;;;11.89866727;2.31142721
12.4532043;3.138927213;;;12.08351295;2.333424508
12.63804998;3.149880224;;;12.26835862;2.347754698
12.82289566;3.159464109;;;12.4532043;2.360715761
13.00774134;3.166309741;;;12.63804998;2.375776152
13.19258701;3.172607722;;;12.82289566;2.387002988
13.37743269;3.178084228;;;13.00774134;2.403797606
13.56227837;3.182739258;;;13.19258701;2.41767142
13.74712405;3.185751336;;;13.37743269;2.426981479
13.93196973;3.190406366;;;13.56227837;2.439029792
14.11681541;3.190406366;;;13.74712405;2.449708978
14.30166108;3.190406366;;;13.93196973;2.459840513
14.46970261;3.190406366;;;14.11681541;2.470519699
;;;;14.30166108;2.478186807
;;;;14.48650676;2.484941164
;;;;14.67135244;2.493521023
;;;;14.85619812;2.499545179
;;;;15.0410438;2.507212287
;;;;15.22588947;2.508033763
;;;;15.41073515;2.51460557
;;;;15.59558083;2.517617648
;;;;15.78042651;2.52446328
;;;;15.94006596;2.523607576
